schemaVersion,recordType,source,content,collectedAt
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/ZhaoJ9014/face.evoLVe'}","{'entityName': 'ZhaoJ9014', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327747
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/danijar/dreamerv3'}","{'entityName': 'danijar', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327756
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/e-m-b-a/emba'}","{'entityName': 'e-m-b-a', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327765
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/apache/incubator-kie-optaplanner'}","{'entityName': 'apache', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327774
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/kuprel/min-dalle'}","{'entityName': 'kuprel', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327783
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/edtechre/pybroker'}","{'entityName': 'edtechre', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327792
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/rbhatia46/Data-Science-Interview-Resources'}","{'entityName': 'rbhatia46', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327799
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/pashpashpash/vault-ai'}","{'entityName': 'pashpashpash', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327806
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/tirthajyoti/Machine-Learning-with-Python'}","{'entityName': 'tirthajyoti', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327811
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/dangkhoasdc/awesome-ai-residency'}","{'entityName': 'dangkhoasdc', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327821
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/musiclm-pytorch'}","{'entityName': 'lucidrains', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327832
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/tirthajyoti/Data-science-best-resources'}","{'entityName': 'tirthajyoti', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327844
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/JoePenna/Dreambooth-Stable-Diffusion'}","{'entityName': 'JoePenna', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327849
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/noahshinn/reflexion'}","{'entityName': 'noahshinn', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327856
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/lakehq/sail'}","{'entityName': 'lakehq', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327862
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/louisfb01/best_AI_papers_2022'}","{'entityName': 'louisfb01', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327878
